3 78
0.124348 0.179657 0.032968 
-0.123452 -0.074771 0.037001 
-0.117960 -0.140273 -0.008269 
-0.099579 -0.212962 -0.022795 
-0.145765 0.003803 0.020379 
-0.143423 0.080980 0.025455 
-0.202430 0.089883 0.076750 
-0.188547 0.015015 0.095629 
-0.039194 -0.130358 0.068888 
0.028252 -0.131593 0.032563 
0.118374 -0.139526 0.015771 
0.210854 -0.155206 0.010672 
0.301114 -0.160889 0.020437 
0.427342 -0.170446 0.022394 
0.510818 -0.175897 0.023237 
0.606321 -0.170369 0.029333 
0.685526 -0.162303 0.021643 
0.706178 -0.082201 0.046684 
0.767971 -0.024833 0.043472 
0.638073 -0.021918 0.042781 
0.544842 -0.007072 0.052990 
0.462614 0.011032 0.050452 
0.386014 0.042087 0.056714 
0.305608 0.061738 0.056822 
0.226483 0.076276 0.048577 
0.150499 0.091306 0.050411 
0.126037 0.022494 0.032347 
0.071496 -0.048033 0.017048 
-0.047813 -0.109148 -0.014332 
0.022457 0.000925 -0.026477 
-0.062250 0.061040 -0.008554 
0.066097 0.060537 -0.000186 
-0.002338 0.110125 -0.017329 
-0.125151 0.166969 0.030011 
-0.107430 0.250112 -0.014531 
-0.097387 0.321587 -0.035352 
-0.172941 0.164805 0.122996 
-0.009462 -0.056552 0.035492 
0.150516 -0.062136 0.030481 
0.237873 -0.083238 0.033608 
0.451250 -0.101596 0.045853 
0.534969 -0.094970 0.047032 
0.647039 0.057910 0.014346 
0.660809 0.126570 -0.015497 
0.629432 0.196513 -0.025333 
0.553422 0.225845 -0.032388 
0.429290 0.253749 -0.030800 
0.323137 0.276886 -0.025686 
0.257879 0.312132 -0.038872 
0.183003 0.335187 -0.037376 
0.125790 0.290157 -0.002745 
0.054170 0.120403 0.046444 
-0.069413 0.003399 0.040322 
0.204672 0.143551 -0.014700 
0.190435 0.215146 -0.053527 
0.090611 0.256428 -0.060480 
-0.168707 0.089393 -0.091721 
-0.214711 -0.070058 0.024897 
0.450945 -0.047680 -0.032597 
0.508994 0.000750 -0.036369 
0.376858 0.036869 -0.040935 
0.287252 0.077221 -0.030903 
0.118043 0.138200 -0.031765 
-0.188946 -0.068951 0.111319 
0.081925 -0.175857 -0.039185 
0.188938 -0.192381 -0.053318 
0.290673 -0.190800 -0.049752 
0.366924 -0.186911 -0.036234 
0.577327 -0.183174 -0.038916 
0.487989 -0.115416 -0.052305 
0.219927 0.051588 -0.060516 
0.058279 -0.238352 -0.078706 
0.025859 -0.105693 -0.050980 
-0.085102 -0.055345 -0.051839 
0.401275 0.182562 -0.021779 
-0.115563 0.111605 -0.037282 
0.115600 0.230000 -0.116800 
0.120000 0.230000 -0.150000 
