No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
174;18 Wheels of Steel: Haulin';FreeTrack20;V160;;;13601;00AE9E109B72BA8DAA1B00
215;1944 D-Day;FreeTrack20;V160;;;15701;00D73F301108DFC27A7B00
484;2KMarinNEXT;FreeTrack20;V170;;;3425;0D614F6A0820D1EA8EE800
392;3D Instructor;FreeTrack20;V160;;;20490;0188250AEFA5B5EA15CB00
374;3D Interactive;FreeTrack20;V160;;;20425;01768FC3899CF17E7BB300
492;3D Interieur Visualisation;FreeTrack20;V160;;;20815;01EC9C5D248D93000FEC00
306;3d Nav;FreeTrack20;V160;;;20235;01323D827F93B498210600
156;3D-Fahrschule Driving Simulator;FreeTrack20;V160;;;20020;009C90AA65E5BDC1D12A00
96;3ds Max;FreeTrack20;V160;;;8601;0060A18FECCA3FBFCEDE00
302;Aaaaa!;FreeTrack20;V160;;;1775;012EBCB2EA96CCD532C000
46;Accessible Computer Games;FreeTrack20;V160;;;4301;002ECD9251931942DAEB00
15;Aces High II;FreeTrack20;V160;;;2701;000F3BAF2B82B2E1BACE00
452;ADS;FreeTrack20;V160;;;20690;01C4C5E387A650CCF60B00
336;Aerofly;FreeTrack20;V160;;;2025;0150B48DFC3D8EE4210700
367;Affineon;FreeTrack20;V160;;;20405;016FA2224086841F7DC000
210;Air Battles: Sky Defender;FreeTrack20;V160;;;7003;00D2A133006D158A0EA800
284;Air Phobia;FreeTrack20;V160;;;20100;011C608E586982AB1E2C00
41;Air Traffic Control Tower;FreeTrack20;V160;;;3601;00292A472BF8D9480ED100
199;AirBook;FreeTrack20;V160;;;15201;00C76A9645BD591075D900
44;America's Army;FreeTrack20;V160;;;4101;002C360B433EED950F9A00
301;America's Army 3;FreeTrack20;V170;;;14203;377B3F3206BCEA252BB700
308;ANAG 3D;FreeTrack20;V160;;;20250;013430823DC1F5E486D100
322;Apache: Air Assault;FreeTrack20;V160;;;1875;0142A443A20298AFE19700
133;Aprisoft Gartenplaner;FreeTrack20;V160;;;20014;00855226E8EBAD633BB900
132;Aprisoft Traumhaus Designer;FreeTrack20;V160;;;20013;0084E25199C61FA7879900
