No;Game Name;Game protocol;Supported since;Verified;By;INTERNATIONAL_ID;FTN_ID
1;18 Wheels of Steel: Haulin';FreeTrack20;V160;V;doc-uk;13601;000121F172F35116A02100
2;1944 D-Day;FreeTrack20;V160;;;15701;00022E542A6A0575F05200
3;3D Instructor;FreeTrack20;V160;;;20490;00034B0FC367116611B100
4;3D Interactive;FreeTrack20;V160;;;20425;0004C6371D77135815A600
5;3d Nav;FreeTrack20;V160;;;20235;000579EC0E26932651EA00
6;3D-Fahrschule Driving Simulator;FreeTrack20;V160;;;20020;000601075146E0E9625B00
7;3ds Max;FreeTrack20;V160;;;8601;00077A32A1A7523A4DE700
8;Aaaaa!;FreeTrack20;V160;;;1775;00085485D831DA62CA7E00
9;Accessible Computer Games;FreeTrack20;V160;;;4301;000916BC07A2F9B35B6300
10;Aces High II;FreeTrack20;V160;V;bash1;2701;000A4B798B7221A72E5800
11;ADS;FreeTrack20;V160;;;20690;000BB25377780C8A894400
13;Affineon;FreeTrack20;V160;;;20405;000D662B0374339635A000
14;Air Battles: Sky Defender;FreeTrack20;V160;;;7003;000E7C822098630A2ED700
15;Air Phobia;FreeTrack20;V160;;;20100;000F0108339B3E78525B00
16;Air Traffic Control Tower;FreeTrack20;V160;;;3601;0010432C28637A8EF97400
17;AirBook;FreeTrack20;V160;;;15201;0011D615A9C8430A201A00
18;America's Army;FreeTrack20;V160;;;4101;00120BCF5753D98399E200
20;ANAG 3D;FreeTrack20;V160;;;20250;0014E2D1D7780A72166300
21;Apache: Air Assault;FreeTrack20;V160;V;paleta77;1875;001591D997A2D912AAA200
22;Aprisoft Gartenplaner;FreeTrack20;V160;;;20014;0016F2F27A5762FA937A00
23;Aprisoft Traumhaus Designer;FreeTrack20;V160;;;20013;00174655E792BB825B9300
24;ArmA;FreeTrack20;V160;V;EmBeES;10601;0018F2F27A57631A40F200
27;ArmA 3;FreeTrack20;V170;;;7503;001BB69411ABD4E2B39900
29;Arvoch Alliance;FreeTrack20;V160;;;14908;001D318F8773BAE29A9300
30;Arvoch Conflict;FreeTrack20;V160;;;14901;001E5C1FDE722DAE2BA900
31;Auditory Displays for the blind;FreeTrack20;V160;;;20035;001F0FC9FF862F9D34BA00
32;AV Core Technology;FreeTrack20;V160;;;20016;00204655E791166FEB5300
33;AVRS;FreeTrack20;V160;;;20340;0021231517525830F41D00
34;BAE Systems HILAS cockpit;FreeTrack20;V160;;;20019;00220D9C887FD88E98B300
36;Battle of Britain II - Wings of Victory;FreeTrack20;V160;V;Normalguy;7001;002452135882CA6419E200
37;Battlecruiser;FreeTrack20;V160;;;6101;00257C822098728A442900
39;Battlefield 2 Trauma Studios;FreeTrack20;V160;;;6501;002720C7529B733AE2EA00
41;Battleground Europe : World War II Online;FreeTrack20;V160;;;3301;0029F07957792CAD3DAF00
42;Battleground Europe : WWII Online;FreeTrack20;V160;;;11201;002A985017330A844A1200
43;Beckman Institute UIUC;FreeTrack20;V160;;;20012;002BB59DEFA8322A926A00
44;Beyond The Red Line;FreeTrack20;V160;;;13301;002CE7A7FAA27424BA2A00
45;BF2 (Unsupported Demo);FreeTrack20;V160;;;9651;002DC6371D86156AEB6000
46;Big Scale Racing;FreeTrack20;V160;;;8301;002E4655E7A24ADDB99200
47;Birds of Prey;FreeTrack20;V160;;;1601;002FBF8C4EAA57730B3200
48;Birds of Steel;FreeTrack20;V160;;;1878;0030D7690F607233A21E00
49;Boeing;FreeTrack20;V160;;;20351;0031044872BA630A033E00
50;Boeing Demo;FreeTrack20;V160;;;20350;003228C57B369A37B13600
51;Bomber Squadron;FreeTrack20;V160;;;1850;00338481733B9E32A83A00
52;Brain-IT Group;FreeTrack20;V160;;;20050;0034E482F5772C9330B100
53;Brothers In Arms;FreeTrack20;V160;;;13501;003503FB872CA8439D1F00
54;C.A.R.S.;FreeTrack20;V170;;;2825;003698EFE2EB6EE8E11300
55;C.U.B.;FreeTrack20;V160;;;20505;0037848174F986FD85F500
56;CameraGripTools;FreeTrack20;V160;;;20150;003870A8B761FA524A4200
57;Caterpillar Simulators;FreeTrack20;V160;;;23080;0039F52E4221742FA63100
58;CCG Metamedia;FreeTrack20;V160;;;20009;003A6FA8A8DD86FE8BDB00
59;CEWIT Immersive Cabin;FreeTrack20;V160;;;20370;003B90B5780C90078DEE00
60;Chopper;FreeTrack20;V160;;;3150;003CC166C8632A32EA2300
61;Clearbox;FreeTrack20;V160;;;20565;003D5C1FDE74279D1DB800
62;CNKFsoft;FreeTrack20;V160;;;20495;003ED7690F6073187B0000
63;Colin McRae DiRT 2;FreeTrack20;V170;V;V4Friend;8107;003F7815C5379491C73300
64;Colin McRae Rally 04;FreeTrack20;V160;;;8103;0040D13C2A843DA526A610
65;Comanche;FreeTrack20;V160;;;2275;00414097C36A12BA32BA00
66;Combat Flight Simulator 3;FreeTrack20;V160;V;V4Friend;2304;00420EC5F763AB21CA7310
67;Combat Helo;FreeTrack20;V160;;;2001;004329DFA863FAE1EA7300
68;Commandos Strike Force;FreeTrack20;V160;;;8801;0044C1BBF892DB037A7200
69;Concept RS;FreeTrack20;V160;;;10701;004537971697736A72DA00
70;Condor: The Competitive Soaring Simulator;FreeTrack20;V160;V;MicheleF;5901;004670A8B762DA623A1300
71;Conflict Taiwan;FreeTrack20;V160;;;1950;0047D7690F6073399E2000
72;Corys;FreeTrack20;V160;;;20550;0048157D78738A342A8D00
73;Counter Strike;FreeTrack20;V160;;;12501;004953FE1E862AB73DA600
74;Crane Simulator;FreeTrack20;V160;;;20048;004A6B62C6A7931972DA00
75;Crashday;FreeTrack20;V160;;;5601;004BD6E585F893D933BA00
76;Creanex Training Simulator;FreeTrack20;V160;;;20205;004CF478D277A40A929A00
77;Creative Labs headset;FreeTrack20;V160;;;20018;004D348B1743E961FA6300
